
milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.213 | 0.367 | 0.593 | 0.684 | 0.802 | 0.791 |
eating           | 0.185 | 0.312 | 0.507 | 0.660 | 0.830 | 1.157 |
smoking          | 0.241 | 0.483 | 0.876 | 0.934 | 1.007 | 1.677 |
discussion       | 0.232 | 0.643 | 0.959 | 1.025 | 1.347 | 1.646 |
directions       | 0.314 | 0.496 | 0.704 | 0.795 | 0.878 | 1.313 |
greeting         | 0.426 | 0.747 | 1.134 | 1.307 | 1.600 | 1.629 |
phoning          | 0.561 | 1.077 | 1.444 | 1.603 | 1.450 | 1.588 |
posing           | 0.213 | 0.514 | 1.134 | 1.383 | 1.591 | 2.474 |
purchases        | 0.503 | 0.729 | 1.051 | 1.123 | 1.408 | 2.177 |
sitting          | 0.350 | 0.583 | 0.998 | 1.172 | 1.297 | 1.692 |
sittingdown      | 0.410 | 0.785 | 1.131 | 1.269 | 1.418 | 1.855 |
takingphoto      | 0.200 | 0.463 | 0.768 | 0.895 | 0.977 | 1.218 |
waiting          | 0.263 | 0.554 | 1.000 | 1.210 | 1.601 | 2.364 |
walkingdog       | 0.501 | 0.829 | 1.136 | 1.235 | 1.525 | 1.790 |
walkingtogether  | 0.203 | 0.455 | 0.653 | 0.694 | 0.816 | 1.240 |
average          | 0.321 | 0.602 | 0.939 | 1.066 | 1.237 | 1.641 |

